global_index,position_in_fov_y_pix,position_in_fov_x_pix,detection_radius,has_matched_histology_cell,fov_center_x,fov_center_y,fov_center_z,batch,antibodies,imaging_date,data_path,slide_replicate
21226,1776,919,20.48,False,-30547.69898,30484.5499,40749.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
21338,1152,288,20.48,False,-30118.23814,32388.33888,40755.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
21779,1108,605,20.48,False,-29794.72702,32370.94707,40755.15625,1,CD45,9/12/18,antibodies_CD45/batch_1/slide_replicate_0,0
22218,1070,1342,20.48,False,-45216.30423,48665.03273,40793.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
23791,1178,1348,12.8,False,-43992.89289,47314.67831,40799.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
24195,1878,1413,20.48,False,-44822.83232,32265.42879,40736.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
24392,1743,545,20.48,False,-44305.08006,35770.20177,40751.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
24432,1078,762,20.48,False,-44163.81377,38331.77615,40766.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
25481,1233,1182,12.8,False,-43463.81667,39257.58294,40766.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
25901,603,1304,20.48,False,-42963.72269,42442.15911,40793.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
26009,1286,514,20.48,False,-43210.93869,37959.40394,40766.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
26196,1243,382,12.8,False,-43528.78784,32195.86157,40736.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
26263,727,417,20.48,False,-43687.71241,29314.09039,40730.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
26470,1080,632,20.48,False,-42728.503,40823.78331,40778.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
26785,1245,1716,12.8,False,-42016.50959,47850.72107,40811.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
27029,801,871,20.48,False,-42563.91645,37924.62032,40766.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
27388,1274,1837,20.48,False,-42681.86248,29902.30856,40730.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
27690,1045,1736,20.48,False,-41139.92963,51978.49583,40814.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
27870,1807,628,20.48,False,-41563.72849,44293.77267,40802.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
28041,700,1155,20.48,False,-41863.91935,38850.42711,40778.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
28282,647,1094,12.8,False,-42305.3765,30845.50715,40739.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
28335,606,445,20.48,False,-42393.66793,29244.52316,40730.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
28658,275,1152,20.48,False,-41416.80023,41074.41289,40793.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
29508,684,1144,20.48,False,-41711.32911,29850.13314,40739.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
29642,987,615,20.48,False,-41599.71742,25990.37976,40706.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
29712,1193,669,20.48,False,-41352.50142,30473.13493,40739.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
29728,318,774,20.48,False,-41299.52656,31433.72533,40739.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
30076,1423,487,20.48,False,-39845.88515,51908.9286,40820.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
30079,1188,1667,12.8,False,-39845.88515,51908.9286,40820.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
31387,1583,1068,20.48,False,-39393.10405,48351.98021,40820.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
31985,691,290,20.48,False,-40311.33491,31701.74671,40757.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
32341,1560,1132,20.48,False,-39952.50722,32324.7485,40757.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
33432,690,1510,20.48,False,-39434.75495,35829.52147,40784.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
33442,866,1407,12.8,False,-39470.07152,35189.12787,40772.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
33930,1056,1469,20.48,False,-39058.26897,36772.72006,40784.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
34127,1274,1682,20.48,False,-37763.55213,54366.15215,40820.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
34139,881,479,20.48,False,-37781.21042,54045.95535,40820.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
34464,1416,1515,20.48,False,-38346.27556,43799.65781,40811.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
34653,1276,528,20.48,False,-38681.78299,37715.91865,40784.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
35342,719,1476,20.48,False,-38040.42273,43462.06921,40811.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
35748,1499,1663,20.48,False,-37522.67046,46966.84218,40817.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
36016,1083,482,20.48,False,-37999.44418,38321.52863,40784.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
36226,1098,280,20.48,False,-38440.90133,30316.60868,40745.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
37021,1476,847,20.48,False,-36699.06536,50134.02655,40823.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
37678,1579,1553,20.48,False,-37899.8288,28360.64427,40724.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
38408,827,1057,20.48,False,-35910.77683,52660.81732,40817.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
38996,937,624,20.48,False,-37023.24884,32488.41904,40760.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
39269,943,466,20.48,False,-36893.97886,28948.86245,40745.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
39272,848,352,20.48,False,-36876.32058,29269.05925,40745.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
39499,1014,1716,12.8,False,-36205.30572,41436.53758,40811.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
39619,477,1372,20.48,False,-35157.80487,54547.2145,40817.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
40398,1223,524,20.48,False,-36605.78431,28291.07705,40724.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
40852,1097,1344,20.48,False,-34510.78263,54512.43089,40817.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
40892,1345,1233,12.8,False,-34581.41578,53231.64369,40817.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
41221,356,602,20.48,False,-35217.11407,41704.55896,40805.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
41273,746,319,20.48,False,-35358.38035,39142.98457,40796.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
41417,993,1604,12.8,False,-35623.25464,34340.0326,40769.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
41676,1239,618,20.48,False,-35847.15038,24396.54005,40703.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
42973,1026,363,20.48,False,-34952.91214,28844.51161,40745.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
43228,1653,1143,20.48,False,-33540.24927,54460.25547,40811.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
43291,1491,1141,20.48,False,-33322.68786,52521.68287,40817.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
43683,1129,955,12.8,False,-34046.67758,39393.61415,40796.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
44661,1314,462,20.48,False,-32922.88162,48004.14408,40808.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
44682,1826,1257,20.48,False,-32975.85648,47043.55369,40814.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
45582,546,844,20.48,False,-33164.43565,37740.45474,40781.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
46533,875,993,20.48,False,-33370.6731,28117.15898,40718.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
46679,864,644,20.48,False,-32941.21226,30020.94797,40736.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
46720,944,761,20.48,False,-32835.26255,31942.12876,40754.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
46738,703,1171,20.48,False,-32817.60426,32262.32555,40754.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
47315,1257,1383,20.48,False,-31805.41999,44732.60888,40799.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
48364,1150,1337,20.48,False,-31052.44804,46619.00605,40796.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
48607,881,1439,12.8,False,-31652.82975,35732.31492,40751.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
48703,481,1231,20.48,False,-31864.72918,31889.95334,40754.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
48782,1176,1351,20.48,False,-32076.62861,28047.59176,40718.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
48973,1132,1235,20.48,False,-31505.90149,32512.95513,40754.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
49209,1719,457,12.8,False,-30122.89322,51707.37121,40802.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
49211,1391,1664,20.48,False,-30122.89322,51707.37121,40802.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
49492,1849,1440,20.48,False,-30705.61665,41140.87687,40772.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
50127,1209,533,20.48,False,-29728.74896,52970.7666,40796.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
50323,1300,892,12.8,False,-29776.06184,46229.24203,40790.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
50343,651,1500,20.48,False,-29811.37841,45588.84843,40796.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
50361,1547,537,20.48,False,-29882.01155,44308.06124,40781.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
50413,1260,1749,20.48,False,-29987.96127,42386.88045,40787.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
51803,1080,790,12.8,False,-29035.08619,42014.50823,40769.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
52785,1749,527,20.48,False,-28470.6934,34597.80646,40733.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
52834,667,1173,12.8,False,-28576.64311,32676.62567,40733.35547,1,CD123,9/21/18,antibodies_CD123/batch_1/slide_replicate_0,0
53427,1320,1630,12.8,False,-43415.88305,43838.93368,40911.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
53462,540,1659,20.48,False,-43521.83276,41917.75289,40902.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
53792,502,1012,12.8,True,-43675.09536,33255.04753,40866.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
54034,1190,389,12.8,True,-42927.78538,40922.37888,40902.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
54507,1153,1388,20.48,False,-42051.20542,45050.15364,40920.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
54581,822,1573,20.48,True,-42245.44656,41527.98886,40902.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
54896,1341,1484,20.48,True,-43110.70257,25838.34575,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
54962,1102,1489,20.48,True,-42751.87488,26461.34754,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
56130,204,783,12.8,True,-41763.68323,26729.36892,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
56467,720,311,20.48,False,-40092.4804,45265.9996,40917.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
56516,999,1164,20.48,True,-40233.74669,42704.42522,40902.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
56522,1737,736,20.48,True,-40251.40498,42384.22842,40902.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
56709,1513,323,20.48,False,-40745.83698,33418.71807,40857.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
57217,615,1116,20.48,True,-39798.62388,38827.28003,40884.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
57775,919,1023,20.48,True,-38833.75249,44556.03878,40911.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
58724,1293,1819,20.48,True,-39157.93597,26910.43127,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
58760,951,437,20.48,True,-39228.56911,25629.64408,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
58785,967,1913,20.48,False,-39281.54397,24669.05368,40809.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
58919,883,534,20.48,True,-38728.47513,28814.22025,40833.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
59142,1477,1261,20.48,True,-37786.92401,40003.71638,40893.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
59929,514,1643,20.48,True,-37846.2332,27161.06084,40824.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
61002,1354,354,20.48,True,-35810.54071,40539.75914,40893.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
61050,1351,1441,20.48,True,-35987.12357,37337.79116,40875.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
61616,760,907,20.48,False,-34792.69446,47229.10829,40920.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
61973,389,1681,20.48,False,-35940.48304,26416.31641,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
62290,646,644,20.48,False,-34428.20479,42071.17591,40899.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
62508,262,1083,20.48,True,-35205.16937,27982.51679,40833.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
62525,1272,331,20.48,True,-35258.14423,27021.92639,40821.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
63021,1076,1139,20.48,False,-34010.74027,37873.83392,40884.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
63180,1276,590,20.48,True,-34505.17227,28908.32357,40833.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
63255,423,478,20.48,True,-34787.70484,23785.1748,40809.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
63484,1283,681,12.8,False,-32816.31116,47765.15105,40923.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
63862,1599,464,20.48,False,-33928.78317,27592.75276,40833.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
64084,1401,1596,20.48,True,-33516.98062,29176.34495,40833.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
65416,1527,767,20.48,False,-31287.04698,46077.20802,40923.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
65804,1061,1142,20.48,True,-31970.05816,27808.59872,40830.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
66196,885,442,20.48,False,-30422.46334,44103.85182,40908.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
66325,772,1555,20.48,True,-30881.57877,35778.73506,40872.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
66704,1308,405,20.48,False,-30699.33393,33199.76887,40863.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
67587,1433,507,20.48,True,-29605.19257,35388.97104,40872.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
68279,746,569,20.48,True,-29258.36118,29910.84186,40851.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
69000,1184,1016,20.48,True,-27787.73384,33043.24261,40866.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
69147,907,1653,12.8,True,-27817.38844,26621.91484,40830.37109,0,unstained,8/19/18,antibodies_unstained/batch_0/slide_replicate_0,0
69915,1688,818,20.48,False,-44697.95836,40773.60106,41236.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
70369,1062,1139,20.48,False,-44121.56926,39458.03026,41236.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
71018,878,328,20.48,False,-41785.68591,58280.07413,41395.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
71508,1676,623,20.48,False,-41173.98024,57604.89692,41395.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
72041,1303,1135,20.48,False,-40491.64143,58210.5069,41395.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
72114,209,1103,20.48,False,-40703.54086,54368.14532,41362.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
72171,844,484,20.48,False,-40880.12371,51166.17734,41326.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
72494,887,801,20.48,False,-41886.64601,32914.95984,41191.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
72502,1542,657,12.8,False,-41580.79317,32577.37124,41173.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
72674,600,1529,20.48,False,-39950.5689,56254.5425,41368.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
73220,1496,1022,20.48,False,-39162.28037,58781.33327,41395.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
73266,617,782,12.8,False,-39285.88837,56539.95568,41368.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
73331,711,985,20.48,False,-39462.47123,53337.9877,41368.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
73444,1256,1590,20.48,False,-39868.6118,45973.46134,41275.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
73936,906,1241,20.48,False,-38868.42384,52342.61369,41329.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
74235,404,1519,20.48,False,-40016.21242,31529.82181,41173.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
74293,352,975,20.48,False,-38615.54586,51044.4347,41329.83984,0,CD19,8/5/18,antibodies_CD19/batch_0/slide_replicate_0,0
